character,community,degree,betweenness,closeness,pagerank
Aerys-II-Targaryen,1,0.03225806451612903,0.007182989441053957,0.38589211618257263,0.0030395369712986277
Brandon-Stark,1,0.03225806451612903,0.0037159740385546837,0.3803680981595092,0.003114567362173353
Gerold-Hightower,1,0.02688172043010753,0.039766056378959615,0.3803680981595092,0.003834801620434246
Jon-Arryn,1,0.08064516129032259,0.013404187597735985,0.4376470588235294,0.009627000199250479
Robert-Baratheon,1,0.2688172043010753,0.23341885664466297,0.5454545454545454,0.04849367196106829
Alyn,1,0.02688172043010753,0.0026930155962414026,0.3803680981595092,0.0026568503633453097
Harwin,1,0.021505376344086023,0.0015547805870386516,0.36470588235294116,0.001921577902096005
Jory-Cassel,1,0.11290322580645162,0.03337664853793886,0.43661971830985913,0.009423689931540349
Tomard,1,0.03763440860215054,0.0037259379194863073,0.375,0.003076833030708132
Arthur-Dayne,1,0.005376344086021506,0.0,0.27596439169139464,0.0015693654705829338
Cersei-Lannister,1,0.16129032258064518,0.026218707186449124,0.484375,0.02162037092438613
Petyr-Baelish,1,0.13978494623655915,0.021539004442230246,0.457002457002457,0.016205449615013447
Vayon-Poole,1,0.02688172043010753,0.0,0.38271604938271603,0.002115006759750481
Arys-Oakheart,1,0.005376344086021506,0.0,0.3268892794376098,0.0009321424486713801
Balon-Greyjoy,1,0.010752688172043012,0.009720803753061818,0.3765182186234818,0.0011210083963128065
Renly-Baratheon,1,0.09677419354838711,0.038326068003487354,0.43457943925233644,0.009752269841450917
Barristan-Selmy,1,0.07526881720430108,0.005321542740897578,0.39323467230443976,0.00732240373084109
Pycelle,1,0.07526881720430108,0.00106931816609236,0.39828693790149894,0.007665821458373829
Varys,1,0.0913978494623656,0.015770609318996414,0.4460431654676259,0.011497273793360303
Lyanna-Stark,1,0.021505376344086023,0.001012302625205851,0.3803680981595092,0.002532617423470855
Cayn,1,0.016129032258064516,0.0003632664922987504,0.36328125,0.0016446308110013208
Janos-Slynt,1,0.03763440860215054,0.01355530645853226,0.38271604938271603,0.0018970910084170202
Stannis-Baratheon,1,0.06451612903225806,0.009200260168002104,0.4017278617710583,0.005649859938065719
Rhaegar-Targaryen,1,0.03763440860215054,0.01671095058191833,0.4,0.0033065664157407096
Daryn-Hornwood,1,0.010752688172043012,0.0,0.36186770428015563,0.0013541443408014078
Torrhen-Karstark,1,0.016129032258064516,0.007131232615103581,0.3780487804878049,0.0017614717385739946
Gendry,1,0.005376344086021506,0.0,0.3611650485436893,0.000945824950277893
Howland-Reed,1,0.005376344086021506,0.0,0.3611650485436893,0.000945824950277893
Jacks,1,0.005376344086021506,0.0,0.3611650485436893,0.0009937202545594723
Joss,1,0.005376344086021506,0.0,0.3611650485436893,0.0010416155588410516
Porther,1,0.005376344086021506,0.0,0.3611650485436893,0.0009937202545594723
Raymun-Darry,1,0.010752688172043012,0.0,0.3765182186234818,0.001344087146629299
Tobho-Mott,1,0.005376344086021506,0.0,0.3611650485436893,0.0011374061674042102
Tregar,1,0.005376344086021506,0.0,0.3611650485436893,0.0009937202545594723
Varly,1,0.005376344086021506,0.0,0.3611650485436893,0.0009937202545594723
Wyl-(guard),1,0.021505376344086023,0.011343601666182307,0.3675889328063241,0.0018544586888419434
Wylla,1,0.005376344086021506,0.0,0.3611650485436893,0.000945824950277893
Oswell-Whent,1,0.005376344086021506,0.0,0.27596439169139464,0.001377558862295489
Heward,1,0.010752688172043012,0.0,0.30491803278688523,0.001380816879837175
Hugh,1,0.005376344086021506,0.0,0.30491803278688523,0.0009473780744019202
